ppm	mollisols	cambisol	acrisol
193.883	2.85286E-05	0.000102879	0.000102104
203.59	3.19487E-05	0.000211953	8.55964E-06
193.64	3.2096E-05	0.000100627	0.000105077
206.987	3.24683E-05	0.000116392	2.50506E-05
202.619	3.35073E-05	8.07039E-05	4.31444E-06
201.163	3.5646E-05	9.25543E-05	4.53644E-05
217.179	3.67283E-05	0.000137944	0.000107619
203.832	3.82088E-05	0.000183368	1.68271E-05
222.761	4.18282E-05	0.000223838	1.97313E-05
206.744	4.36119E-05	0.000129247	3.59333E-05
193.397	4.4114E-05	9.8375E-05	0.000105093
192.184	4.49108E-05	0.000113724	7.59954E-05
202.376	4.498E-05	5.74549E-05	1.02641E-05
224.46	4.52138E-05	0.000127757	-6.33511E-05
217.422	5.01924E-05	9.07873E-05	0.000107092
188.301	5.31535E-05	0.000174498	7.95941E-05
0.955179	5.50324E-05	8.86736E-05	-9.35002E-05
188.544	5.51626E-05	0.000179176	8.3538E-05
192.426	5.58898E-05	8.93661E-05	8.21912E-05
193.154	5.61323E-05	8.94702E-05	0.000102083
188.786	5.71713E-05	0.000175814	8.70909E-05
220.82	5.75523E-05	1.36937E-05	3.26473E-05
1.19785	5.98511E-05	0.000127342	-9.15713E-05
202.134	6.07904E-05	3.42057E-05	1.76917E-05
192.912	6.15005E-05	8.05654E-05	9.65491E-05
190.485	6.16735E-05	0.000193313	9.19547E-05
0.712503	6.35136E-05	5.00054E-05	-9.68076E-05
217.665	6.36565E-05	4.36301E-05	0.000104643
186.36	6.3717E-05	-3.02431E-06	5.42729E-05
201.405	6.38903E-05	7.79673E-05	3.99201E-05
188.058	6.44442E-05	0.000169821	7.51756E-05
1.44053	6.46694E-05	0.000144388	-9.12709E-05
183.933	6.62452E-05	0.000150227	6.44656E-05
192.669	6.68688E-05	8.49658E-05	8.94859E-05
186.602	6.87564E-05	3.53144E-05	5.312E-05
223.004	6.996E-05	0.000238148	9.93228E-06
201.648	7.02457E-05	6.33798E-05	3.32468E-05
186.117	7.19775E-05	-4.13631E-05	5.71507E-05
183.69	7.27739E-05	0.000186175	5.98051E-05
186.845	7.37955E-05	7.32547E-05	5.39011E-05
224.217	7.56832E-05	0.000158074	-5.01555E-05
187.816	7.5735E-05	0.000165143	7.03205E-05
201.891	7.66011E-05	4.87928E-05	2.56364E-05
217.907	7.71206E-05	1.17534E-05	0.000100335
189.029	7.80211E-05	0.000172454	9.03361E-05
183.447	7.93026E-05	0.000211589	5.56972E-05
185.874	8.02375E-05	-5.75266E-05	6.12326E-05
184.175	8.04975E-05	0.000114279	6.89005E-05
187.088	8.09303E-05	0.000111195	5.64864E-05
187.573	8.19001E-05	0.000160465	6.52685E-05
1.68321	8.44501E-05	0.000161436	-9.24807E-05
187.33	8.80651E-05	0.00013583	6.04653E-05
218.15	9.17447E-05	-2.01234E-05	9.43694E-05
223.974	9.28533E-05	0.000188392	-3.70771E-05
220.577	9.46021E-05	1.92374E-05	3.04591E-05
184.418	9.47493E-05	7.83304E-05	7.24135E-05
185.632	9.76412E-05	-7.36903E-05	6.57844E-05
223.246	9.80914E-05	0.000230282	-8.19913E-07
190.242	9.83166E-05	0.000186417	9.53701E-05
189.272	9.88708E-05	0.000169093	9.32389E-05
183.205	9.91308E-05	0.000237004	5.2928E-05
223.489	0.000104057	0.000222417	-1.23024E-05
1.92588	0.00010423	0.000134133	-9.46745E-05
218.393	0.000106369	-1.20849E-05	8.70209E-05
184.661	0.000109002	4.23828E-05	7.44625E-05
223.732	0.000110023	0.000205405	-2.44116E-05
190	0.000112794	0.000179522	9.70296E-05
189.514	0.000113071	0.000165732	9.55831E-05
185.389	0.000115045	-5.57596E-05	7.00008E-05
182.962	0.000118959	0.000262419	5.22133E-05
185.146	0.000119149	-3.78289E-05	7.31561E-05
184.904	0.000123253	2.27694E-06	7.47261E-05
2.16856	0.000124011	0.000106829	-9.70059E-05
189.757	0.000127271	0.000172627	9.69912E-05
218.635	0.000127643	-4.04646E-06	7.86101E-05
220.334	0.000131652	4.1967E-05	3.01149E-05
182.719	0.000134388	0.000287834	5.41181E-05
2.41123	0.000143791	5.5965E-05	-9.8504E-05
218.878	0.000148917	2.45041E-05	6.95063E-05
182.477	0.000149818	0.000294677	5.89844E-05
182.234	0.000151948	0.00030152	6.68784E-05
181.991	0.000154078	0.000295058	7.75758E-05
2.65391	0.000154429	5.10081E-06	-9.83222E-05
220.092	0.000155403	6.46965E-05	3.20992E-05
181.749	0.00015787	0.000288596	9.05977E-05
181.506	0.000161663	0.000291281	0.000105295
219.121	0.000163126	5.30545E-05	6.01574E-05
2.89659	0.000165066	-1.91533E-05	-9.59597E-05
8.23546	0.000172434	0.000187439	1.55987E-05
7.99278	0.000175304	0.000189986	4.02116E-06
3.13926	0.000175703	-4.34073E-05	-9.13877E-05
219.363	0.000177335	6.83E-05	5.11134E-05
7.7501	0.000178175	0.000170583	-7.00404E-06
219.606	0.000178244	8.35454E-05	4.30092E-05
181.263	0.000178755	0.000293967	0.000120975
219.849	0.000179153	7.41209E-05	3.64922E-05
3.38194	0.00018634	-1.55498E-05	-8.50413E-05
7.50743	0.000187695	0.000151179	-1.68263E-05
5.8087	0.000190886	0.00017585	-4.34895E-05
8.47813	0.000191214	0.000184893	2.70846E-05
3.62461	0.000193236	1.23078E-05	-7.76837E-05
6.05137	0.000193418	0.000140092	-4.22702E-05
5.56602	0.000195002	0.000211607	-4.46804E-05
181.021	0.000195847	0.000327697	0.000137028
6.29405	0.000195951	0.000119857	-4.07992E-05
7.26475	0.000197215	0.000131776	-2.49648E-05
5.32335	0.00019912	0.000234059	-4.60169E-05
6.53672	0.000199592	9.96224E-05	-3.87517E-05
3.86729	0.000200133	6.67754E-05	-7.0192E-05
7.02208	0.000200224	0.000112373	-3.12229E-05
6.7794	0.000203232	0.000105998	-3.57065E-05
5.08067	0.000206146	0.000256512	-4.76972E-05
4.10997	0.00020703	0.000121243	-6.33353E-05
8.72081	0.000209995	0.000182346	3.80234E-05
4.83799	0.000213173	0.000235999	-4.99869E-05
4.59532	0.000213549	0.000215487	-5.32008E-05
4.35264	0.000213926	0.000168365	-5.7614E-05
180.778	0.000226308	0.000361428	0.000153049
8.96348	0.000242075	0.000179799	4.82705E-05
180.535	0.000256768	0.000412344	0.000168901
9.20616	0.000274155	0.000181688	5.80144E-05
180.293	0.000300529	0.00046326	0.000184729
9.44884	0.000301525	0.000183576	6.76927E-05
9.69151	0.000328894	0.000198769	7.78374E-05
9.93419	0.000342965	0.000213963	8.8911E-05
180.05	0.000344289	0.000500871	0.000200909
10.1769	0.000357035	0.000246619	0.000101199
10.4195	0.000359884	0.000279276	0.000114802
10.6622	0.000362733	0.000325237	0.000129728
10.9049	0.000372231	0.000371199	0.000146054
11.1476	0.000381729	0.000422981	0.000164077
179.807	0.000394976	0.000538482	0.00021798
11.3902	0.000406051	0.000474763	0.000184403
11.6329	0.000430373	0.00051324	0.000207912
179.565	0.000445664	0.000546434	0.000236559
11.8756	0.000467995	0.000551718	0.000235605
179.322	0.000496352	0.000554386	0.000257283
12.1183	0.000505614	0.000563308	0.000268368
160.636	0.000516802	0.000362952	0.000446895
146.561	0.000530447	0.000641354	0.000554261
160.393	0.000531393	0.00037404	0.000443062
160.879	0.000535185	0.000351865	0.000451403
157.724	0.000536164	0.000401135	0.000467038
12.3609	0.000536309	0.000574898	0.000306725
146.803	0.000537741	0.000644992	0.000565133
149.473	0.000540598	0.000675327	0.000541463
157.966	0.000540899	0.000389978	0.000462168
149.716	0.00054257	0.000615333	0.00053708
149.958	0.000544546	0.000571415	0.000533817
147.046	0.000545031	0.000667202	0.000573642
158.209	0.000545637	0.000418736	0.000456347
160.151	0.000545981	0.000410906	0.000439912
179.079	0.00054704	0.000562338	0.000280779
143.649	0.000550328	0.000586887	0.000504866
93.172	0.000550708	0.00058479	0.000791042
149.23	0.000551923	0.000735321	0.000546867
92.9293	0.000552684	0.000573235	0.00079756
143.891	0.000552702	0.000570844	0.000498745
157.481	0.00055276	0.000412292	0.000470413
161.121	0.000553569	0.000371822	0.000456623
146.318	0.000554192	0.000637716	0.000541895
92.6867	0.00055466	0.000619335	0.000806126
144.134	0.000555073	0.000573304	0.000493736
150.201	0.000560094	0.000527499	0.000531731
93.4147	0.000562034	0.000596346	0.000787823
90.7453	0.000562693	0.000604159	0.000868856
148.987	0.000563248	0.000773144	0.000553099
90.5026	0.00056633	0.000579922	0.000875851
92.444	0.000566884	0.000665435	0.000815634
12.6036	0.000567004	0.000559878	0.000350661
157.238	0.00056936	0.000453662	0.000472061
90.9879	0.000569585	0.000628396	0.000862654
90.2599	0.000569966	0.000604471	0.000884473
147.289	0.000570053	0.000689412	0.00057922
161.364	0.000571949	0.000391779	0.000462579
158.452	0.00057254	0.000447495	0.000450295
93.6574	0.000573359	0.000653689	0.000789122
159.908	0.00057387	0.000447772	0.000437545
150.444	0.000575646	0.000532367	0.00053086
91.2306	0.000576477	0.000674807	0.000856527
146.075	0.000577934	0.000634078	0.000529084
143.406	0.000578989	0.000602929	0.000511682
92.2013	0.000579108	0.000708208	0.000825224
144.377	0.000579127	0.000575764	0.000490212
91.4733	0.000583372	0.000721219	0.000849947
